EMAIL,L_NAME,F_NAME,IS_SME,IS_COMMSEE,IS_HEADING,IS_BLANK
Agents,Agents,,FALSE,FALSE,TRUE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,FALSE,FALSE,FALSE
,,,FALSE,FALSE,FALSE,TRUE
,,,FALSE,FALSE,FALSE,TRUE
,,,FALSE,FALSE,FALSE,TRUE
,,,FALSE,FALSE,FALSE,TRUE
,,,FALSE,FALSE,FALSE,TRUE
,,,FALSE,FALSE,FALSE,TRUE
,,,FALSE,FALSE,FALSE,TRUE
,,,FALSE,FALSE,FALSE,TRUE
,,,FALSE,FALSE,FALSE,TRUE
,,,FALSE,FALSE,FALSE,TRUE
,,,FALSE,FALSE,FALSE,TRUE
Commsee,Commsee,Agents,FALSE,FALSE,TRUE,FALSE
person@email.com,firstname,lastname,FALSE,TRUE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,TRUE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,TRUE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,TRUE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,TRUE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,TRUE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,TRUE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,TRUE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,TRUE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,TRUE,FALSE,FALSE
person@email.com,firstname,lastname,FALSE,TRUE,FALSE,FALSE
,,,FALSE,FALSE,FALSE,TRUE
,Seniors & SMEs,,TRUE,FALSE,TRUE,FALSE
person@email.com,firstname,lastname,TRUE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,TRUE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,TRUE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,TRUE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,TRUE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,TRUE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,TRUE,FALSE,FALSE,FALSE
person@email.com,firstname,lastname,TRUE,FALSE,FALSE,FALSE
